exp,accuracy_mean,accuracy_std,accuracy_str,prec_benign_mean,prec_benign_std,prec_benign_str,rec_benign_mean,rec_benign_std,rec_benign_str,f1_benign_mean,f1_benign_std,f1_benign_str,prec_malignant_mean,prec_malignant_std,prec_malignant_str,rec_malignant_mean,rec_malignant_std,rec_malignant_str,f1_malignant_mean,f1_malignant_std,f1_malignant_str,macro_prec_mean,macro_prec_std,macro_prec_str,macro_rec_mean,macro_rec_std,macro_rec_str,macro_f1_mean,macro_f1_std,macro_f1_str,weighted_prec_mean,weighted_prec_std,weighted_prec_str,weighted_rec_mean,weighted_rec_std,weighted_rec_str,weighted_f1_mean,weighted_f1_std,weighted_f1_str,auc_mean,auc_std,auc_str,mcc_mean,mcc_std,mcc_str
Backbone_ResNet50,0.7899999999999999,0.02797878660699923,0.7900 ± 0.0280,0.6451178661290258,0.07940164716368993,0.6451 ± 0.0794,0.7145833333333333,0.05840769070365079,0.7146 ± 0.0584,0.6721630006134062,0.024925265815591957,0.6722 ± 0.0249,0.8715719891253512,0.017529734404408085,0.8716 ± 0.0175,0.8223214285714286,0.057684376090046764,0.8223 ± 0.0577,0.844805104846196,0.025003917968338413,0.8448 ± 0.0250,0.7583449276271885,0.03658077949696203,0.7583 ± 0.0366,0.7684523809523809,0.017609895467246468,0.7685 ± 0.0176,0.758484052729801,0.0234830864259047,0.7585 ± 0.0235,0.8036357522264537,0.021296383168805715,0.8036 ± 0.0213,0.7899999999999999,0.02797878660699923,0.7900 ± 0.0280,0.793012473576359,0.023742895424319867,0.7930 ± 0.0237,0.8449776785714285,0.018168436062929935,0.8450 ± 0.0182,0.5259173309439574,0.048756482550716726,0.5259 ± 0.0488
Backbone_ConvNeXt,0.791875,0.03052918685454954,0.7919 ± 0.0305,0.6418650570541669,0.06492656763730557,0.6419 ± 0.0649,0.7395833333333333,0.0555121358103093,0.7396 ± 0.0555,0.682143125629701,0.017984995353226684,0.6821 ± 0.0180,0.8808222054310264,0.015236260777723498,0.8808 ± 0.0152,0.8142857142857144,0.06595066183078352,0.8143 ± 0.0660,0.8442427792234992,0.03023697043812981,0.8442 ± 0.0302,0.7613436312425966,0.02621584231042317,0.7613 ± 0.0262,0.7769345238095238,0.009997962519190955,0.7769 ± 0.0100,0.7631929524266001,0.02357397432923178,0.7632 ± 0.0236,0.8091350609179685,0.011681277482993328,0.8091 ± 0.0117,0.791875,0.03052918685454954,0.7919 ± 0.0305,0.7956128831453598,0.026153331011210344,0.7956 ± 0.0262,0.8469308035714287,0.013633435444179531,0.8469 ± 0.0136,0.5376665784653067,0.03516014538270889,0.5377 ± 0.0352
Backbone_EffB3,0.8150000000000001,0.014031215200402267,0.8150 ± 0.0140,0.7126546931978063,0.04260100387211793,0.7127 ± 0.0426,0.65,0.042491829279939865,0.6500 ± 0.0425,0.6780073580101014,0.022944510057663813,0.6780 ± 0.0229,0.8555439393967941,0.012906054338046457,0.8555 ± 0.0129,0.8857142857142858,0.026122747925585364,0.8857 ± 0.0261,0.8700413515907076,0.011107358046907774,0.8700 ± 0.0111,0.7840993162973001,0.02087484451601475,0.7841 ± 0.0209,0.7678571428571429,0.016274075136300394,0.7679 ± 0.0163,0.7740243548004047,0.01559397419675092,0.7740 ± 0.0156,0.8126771655370979,0.013960471170018925,0.8127 ± 0.0140,0.8150000000000001,0.014031215200402267,0.8150 ± 0.0140,0.8124311535165258,0.013252735340818224,0.8124 ± 0.0133,0.8526785714285715,0.01732681173286422,0.8527 ± 0.0173,0.5514074687429845,0.03208676407053868,0.5514 ± 0.0321
Backbone_MobileNetV3,0.7956249999999999,0.009999999999999964,0.7956 ± 0.0100,0.6528740982317892,0.04249924605813888,0.6529 ± 0.0425,0.70625,0.08369712261083612,0.7063 ± 0.0837,0.6727472484228049,0.02462025795286954,0.6727 ± 0.0246,0.8708803978389555,0.024795466408964874,0.8709 ± 0.0248,0.8339285714285714,0.04529875319273508,0.8339 ± 0.0453,0.850582204183165,0.012218542630159774,0.8506 ± 0.0122,0.7618772480353725,0.01070376241644421,0.7619 ± 0.0107,0.7700892857142858,0.020875807043750205,0.7701 ± 0.0209,0.761664726302985,0.010620168025951258,0.7617 ± 0.0106,0.8054785079568056,0.0071864579919663114,0.8055 ± 0.0072,0.7956249999999999,0.009999999999999964,0.7956 ± 0.0100,0.7972317174550569,0.00798780452922051,0.7972 ± 0.0080,0.8490513392857142,0.010238177023526128,0.8491 ± 0.0102,0.5311563417706308,0.018416393190205438,0.5312 ± 0.0184
Backbone_DenseNet121,0.8012499999999999,0.021523969197153218,0.8012 ± 0.0215,0.6578218634276167,0.04732619487176401,0.6578 ± 0.0473,0.71875,0.038975597778895206,0.7188 ± 0.0390,0.6850047809998085,0.024086260976017418,0.6850 ± 0.0241,0.8744662500796169,0.013033495726479688,0.8745 ± 0.0130,0.8366071428571429,0.03804870670118308,0.8366 ± 0.0380,0.8545266128693706,0.01863211558486367,0.8545 ± 0.0186,0.7661440567536169,0.023729647147096973,0.7661 ± 0.0237,0.7776785714285713,0.016910681810531826,0.7777 ± 0.0169,0.7697656969345896,0.020322714165182845,0.7698 ± 0.0203,0.8094729340840168,0.015867976734397937,0.8095 ± 0.0159,0.8012499999999999,0.021523969197153218,0.8012 ± 0.0215,0.8036700633085021,0.019352429456369308,0.8037 ± 0.0194,0.8563151041666666,0.018219825716580717,0.8563 ± 0.0182,0.5435039519315992,0.03878733467294449,0.5435 ± 0.0388
Ref_ImgSE,0.828125,0.015309310892394873,0.8281 ± 0.0153,0.7087027266248735,0.028953127524176094,0.7087 ± 0.0290,0.7270833333333333,0.02901747557746689,0.7271 ± 0.0290,0.7173911928322665,0.02409241304839995,0.7174 ± 0.0241,0.8817535597991899,0.011247423508404212,0.8818 ± 0.0112,0.8714285714285713,0.017267035362333674,0.8714 ± 0.0173,0.8764650761265438,0.01149376333870758,0.8765 ± 0.0115,0.7952281432120317,0.0180606292985428,0.7952 ± 0.0181,0.7992559523809523,0.017318257769019223,0.7993 ± 0.0173,0.7969281344794051,0.017487438141316498,0.7969 ± 0.0175,0.829838309846895,0.01445073550044469,0.8298 ± 0.0145,0.828125,0.015309310892394873,0.8281 ± 0.0153,0.8287429111382604,0.014973888496971273,0.8287 ± 0.0150,0.8711588541666668,0.01675815513913889,0.8712 ± 0.0168,0.5944228357491426,0.03464565195762259,0.5944 ± 0.0346
Ablation_Unimodal,0.753125,0.04201934078492902,0.7531 ± 0.0420,0.583840429789672,0.06490726173245161,0.5838 ± 0.0649,0.7083333333333334,0.08175590362645245,0.7083 ± 0.0818,0.6332330739698941,0.03512664467601935,0.6332 ± 0.0351,0.8626159396046624,0.02454968115860434,0.8626 ± 0.0245,0.7723214285714286,0.0810977773418971,0.7723 ± 0.0811,0.811932144677541,0.04306343987646381,0.8119 ± 0.0431,0.7232281846971672,0.030729426482605876,0.7232 ± 0.0307,0.7403273809523809,0.02940259294102019,0.7403 ± 0.0294,0.7225826093237175,0.03518187855668299,0.7226 ± 0.0352,0.7789832866601654,0.02136370822592043,0.7790 ± 0.0214,0.753125,0.04201934078492902,0.7531 ± 0.0420,0.7583224234652469,0.03756201892001641,0.7583 ± 0.0376,0.8273251488095237,0.027942328555415077,0.8273 ± 0.0279,0.4627488577557705,0.05644582873975323,0.4627 ± 0.0564
Ablation_NoSE,0.8056249999999998,0.017831678272108895,0.8056 ± 0.0178,0.6603469988439461,0.032653984281981095,0.6603 ± 0.0327,0.7333333333333333,0.05914612319407663,0.7333 ± 0.0591,0.6929813067035051,0.029033659088364142,0.6930 ± 0.0290,0.8806924960934731,0.020856927781493763,0.8807 ± 0.0209,0.8366071428571429,0.031134992453861955,0.8366 ± 0.0311,0.8574787034551233,0.014772965184811578,0.8575 ± 0.0148,0.7705197474687095,0.01839119810781119,0.7705 ± 0.0184,0.784970238095238,0.023561769004401587,0.7850 ± 0.0236,0.7752300050793142,0.01997643822512433,0.7752 ± 0.0200,0.8145888469186149,0.01667236217405253,0.8146 ± 0.0167,0.8056249999999998,0.017831678272108895,0.8056 ± 0.0178,0.8081294844296376,0.017180271464316155,0.8081 ± 0.0172,0.8641183035714286,0.020877029371063414,0.8641 ± 0.0209,0.5551053239108221,0.03952218306769881,0.5551 ± 0.0395
Ablation_NoEMA,0.7825,0.018285923547909737,0.7825 ± 0.0183,0.6141183751444709,0.029957414853926532,0.6141 ± 0.0300,0.75,0.04370036867375631,0.7500 ± 0.0437,0.674114700313435,0.023179175851824642,0.6741 ± 0.0232,0.8819509480489005,0.01605437872983976,0.8820 ± 0.0161,0.7964285714285715,0.03126275250002068,0.7964 ± 0.0313,0.8365075818275484,0.016295655169915005,0.8365 ± 0.0163,0.7480346615966857,0.017024470188106475,0.7480 ± 0.0170,0.7732142857142856,0.01857676968372291,0.7732 ± 0.0186,0.7553111410704918,0.018180087208030545,0.7553 ± 0.0182,0.8016011761775715,0.014419910831232554,0.8016 ± 0.0144,0.7825,0.018285923547909737,0.7825 ± 0.0183,0.7877897173733144,0.01695622959402413,0.7878 ± 0.0170,0.8500465029761906,0.01980781374526389,0.8500 ± 0.0198,0.5205614505366638,0.03447010037056765,0.5206 ± 0.0345
Ablation_WCE,0.8125,0.021740658913657635,0.8125 ± 0.0217,0.6797164526721365,0.06236230203351356,0.6797 ± 0.0624,0.7416666666666666,0.07494210728585397,0.7417 ± 0.0749,0.7031638605802266,0.023292812288288098,0.7032 ± 0.0233,0.885649120854378,0.02277290713977229,0.8856 ± 0.0228,0.8428571428571429,0.05374970336890149,0.8429 ± 0.0537,0.8621547438832631,0.020967956179210444,0.8622 ± 0.0210,0.7826827867632573,0.023834912538195998,0.7827 ± 0.0238,0.7922619047619048,0.020050116135062135,0.7923 ± 0.0201,0.7826593022317448,0.01855529883739555,0.7827 ± 0.0186,0.8238693203997055,0.012479152410627614,0.8239 ± 0.0125,0.8125,0.021740658913657635,0.8125 ± 0.0217,0.8144574788923522,0.018633520767999647,0.8145 ± 0.0186,0.870991443452381,0.011668722640699167,0.8710 ± 0.0117,0.5740694871712556,0.03234396502549589,0.5741 ± 0.0323
