exp,fold,threshold,accuracy,prec_benign,rec_benign,f1_benign,prec_malignant,rec_malignant,f1_malignant,macro_prec,macro_rec,macro_f1,weighted_prec,weighted_rec,weighted_f1,auc,mcc
Backbone_ResNet50,1,0.3400000000000002,0.790625,0.6330275229357798,0.71875,0.6731707317073171,0.8720379146919431,0.8214285714285714,0.8459770114942529,0.7525327188138615,0.7700892857142857,0.7595738716007849,0.800334797165094,0.790625,0.7941351275581721,0.8383091517857142,0.522327030293943
Backbone_ResNet50,2,0.21000000000000005,0.7625,0.5819672131147541,0.7395833333333334,0.6513761467889908,0.8737373737373737,0.7723214285714286,0.8199052132701422,0.7278522934260638,0.7559523809523809,0.7356406800295665,0.7862063255505879,0.7625,0.7693464933257967,0.8481212797619048,0.48298793777013355
Backbone_ResNet50,3,0.2500000000000001,0.840625,0.8,0.625,0.7017543859649122,0.8530612244897959,0.9330357142857143,0.8912579957356077,0.826530612244898,0.7790178571428572,0.79650619085026,0.8371428571428572,0.840625,0.834406912804399,0.8638392857142857,0.603681610520369
Backbone_ResNet50,4,0.3200000000000002,0.765625,0.5945945945945946,0.6875,0.6376811594202898,0.8564593301435407,0.7991071428571429,0.8267898383371824,0.7255269623690677,0.7433035714285714,0.7322354988787361,0.7778999094788569,0.765625,0.7700572346621146,0.8136160714285713,0.4684933954617981
Backbone_ResNet50,5,0.8600000000000007,0.790625,0.616,0.8020833333333334,0.6968325791855203,0.9025641025641026,0.7857142857142857,0.8400954653937948,0.7592820512820513,0.7938988095238095,0.7684640222896575,0.8165948717948718,0.790625,0.7971165995313124,0.8610026041666666,0.5520966806735436
Backbone_ConvNeXt,1,0.2500000000000001,0.815625,0.6907216494845361,0.6979166666666666,0.694300518134715,0.8699551569506726,0.8660714285714286,0.8680089485458613,0.7803384032176044,0.7819940476190477,0.7811547333402882,0.8161851047108316,0.815625,0.8158964194225173,0.857421875,0.5623300135201496
Backbone_ConvNeXt,2,0.5100000000000003,0.74375,0.55,0.8020833333333334,0.652542372881356,0.8944444444444445,0.71875,0.7970297029702971,0.7222222222222223,0.7604166666666667,0.7247860379258265,0.7911111111111111,0.74375,0.7536835039436147,0.8360770089285713,0.4811252243246881
Backbone_ConvNeXt,3,0.7300000000000005,0.8,0.6568627450980392,0.6979166666666666,0.6767676767676768,0.8669724770642202,0.84375,0.8552036199095022,0.7619176110811297,0.7708333333333333,0.7659856483385895,0.803939557474366,0.8,0.8016728369669547,0.8256603422619049,0.5326763357529822
Backbone_ConvNeXt,4,0.4500000000000003,0.828125,0.7252747252747253,0.6875,0.7058823529411765,0.868995633187773,0.8883928571428571,0.8785871964679912,0.7971351792312491,0.7879464285714286,0.7922347747045839,0.8258793608138586,0.828125,0.8267757434099468,0.8550037202380953,0.5850094483427408
Backbone_ConvNeXt,5,0.4500000000000003,0.771875,0.5864661654135338,0.8125,0.6812227074235808,0.9037433155080213,0.7544642857142857,0.8223844282238443,0.7451047404607776,0.7834821428571428,0.7518035678237125,0.8085601704796751,0.771875,0.7800359119837652,0.8604910714285713,0.5271918703859727
Backbone_EffB3,1,0.5500000000000004,0.80625,0.6808510638297872,0.6666666666666666,0.6736842105263158,0.8584070796460177,0.8660714285714286,0.8622222222222222,0.7696290717379024,0.7663690476190477,0.767953216374269,0.8051402749011485,0.80625,0.8056608187134504,0.8430059523809524,0.5359882052778138
Backbone_EffB3,2,0.42000000000000026,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.8,0.8,0.8,0.8441685267857144,0.5238095238095238
Backbone_EffB3,3,0.43000000000000027,0.80625,0.717948717948718,0.5833333333333334,0.6436781609195402,0.8347107438016529,0.9017857142857143,0.8669527896995708,0.7763297308751854,0.7425595238095238,0.7553154753095555,0.7996821360457724,0.80625,0.7999704010655616,0.8303106398809526,0.5177891769262808
Backbone_EffB3,4,0.28000000000000014,0.8375,0.7894736842105263,0.625,0.6976744186046512,0.8524590163934426,0.9285714285714286,0.8888888888888888,0.8209663503019844,0.7767857142857143,0.79328165374677,0.8335634167385677,0.8375,0.8315245478036175,0.8754650297619048,0.5961171043679708
Backbone_EffB3,5,0.4400000000000003,0.825,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.875,0.875,0.875,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.825,0.825,0.825,0.8704427083333334,0.5833333333333334
Backbone_MobileNetV3,1,0.2500000000000001,0.803125,0.726027397260274,0.5520833333333334,0.6272189349112426,0.8259109311740891,0.9107142857142857,0.8662420382165605,0.7759691642171815,0.7313988095238095,0.7467304865639015,0.7959458709999445,0.803125,0.7945351072249652,0.8468191964285714,0.5054065138683375
Backbone_MobileNetV3,2,0.6300000000000004,0.784375,0.6097560975609756,0.78125,0.684931506849315,0.8934010152284264,0.7857142857142857,0.836104513064133,0.7515785563947011,0.7834821428571428,0.760518009956724,0.8083075399281912,0.784375,0.7907526111996876,0.8516090029761905,0.5341087090234586
Backbone_MobileNetV3,3,0.4400000000000003,0.796875,0.6534653465346535,0.6875,0.6700507614213198,0.863013698630137,0.84375,0.8532731376975169,0.7582395225823952,0.765625,0.7616619495594183,0.8001491930014918,0.796875,0.7983064248146577,0.8392392113095238,0.5238124595156123
Backbone_MobileNetV3,4,0.4500000000000003,0.809375,0.6635514018691588,0.7395833333333334,0.6995073891625616,0.8826291079812206,0.8392857142857143,0.8604118993135011,0.7730902549251897,0.7894345238095238,0.7799596442380314,0.8169057961476021,0.809375,0.8121405462682194,0.8674200148809524,0.5622872856157918
Backbone_MobileNetV3,5,0.8200000000000006,0.784375,0.6115702479338843,0.7708333333333334,0.6820276497695853,0.8894472361809045,0.7901785714285714,0.8368794326241135,0.7505087420573944,0.7805059523809523,0.7594535411968494,0.8060841397067984,0.784375,0.7904238977677551,0.8401692708333334,0.5301667408299534
Backbone_DenseNet121,1,0.29000000000000015,0.821875,0.7142857142857143,0.6770833333333334,0.6951871657754011,0.8646288209606987,0.8839285714285714,0.8741721854304636,0.7894572676232066,0.7805059523809523,0.7846796756029324,0.8195258889582033,0.821875,0.8204766795339449,0.8323102678571427,0.5698929251297502
Backbone_DenseNet121,2,0.7700000000000006,0.7875,0.6372549019607843,0.6770833333333334,0.6565656565656566,0.8577981651376146,0.8348214285714286,0.8461538461538461,0.7475265335491994,0.7559523809523809,0.7513597513597514,0.7916351861845655,0.7875,0.7892773892773893,0.8378441220238095,0.5034084052171041
Backbone_DenseNet121,3,0.3500000000000002,0.83125,0.7142857142857143,0.7291666666666666,0.7216494845360825,0.8828828828828829,0.875,0.8789237668161435,0.7985842985842986,0.8020833333333333,0.800286625676113,0.8323037323037322,0.83125,0.8317414821321252,0.8801153273809524,0.6006574404678267
Backbone_DenseNet121,4,0.7300000000000005,0.775,0.603448275862069,0.7291666666666666,0.660377358490566,0.8725490196078431,0.7946428571428571,0.8317757009345794,0.737998647734956,0.7619047619047619,0.7460765297125727,0.7918187964841108,0.775,0.7803561982013754,0.8647693452380952,0.49933146974201
Backbone_DenseNet121,5,0.4800000000000003,0.790625,0.6198347107438017,0.78125,0.6912442396313364,0.8944723618090452,0.7946428571428571,0.8416075650118203,0.7571535362764235,0.7879464285714286,0.7664259023215784,0.8120810664894721,0.790625,0.7964985673976752,0.8665364583333334,0.544229519101305
Ref_ImgSE,1,0.43000000000000027,0.834375,0.7263157894736842,0.71875,0.7225130890052356,0.88,0.8839285714285714,0.8819599109131403,0.8031578947368421,0.8013392857142857,0.802236499959188,0.8338947368421052,0.834375,0.8341258643407687,0.8503999255952381,0.6044944448335208
Ref_ImgSE,2,0.6200000000000004,0.809375,0.6666666666666666,0.7291666666666666,0.6965174129353234,0.8790697674418605,0.84375,0.8610478359908884,0.7728682170542636,0.7864583333333333,0.778782624463106,0.8153488372093023,0.809375,0.8116887090742189,0.8554222470238094,0.5591614245528838
Ref_ImgSE,3,0.17,0.815625,0.6989247311827957,0.6770833333333334,0.6878306878306878,0.8634361233480177,0.875,0.8691796008869179,0.7811804272654067,0.7760416666666667,0.7785051443588029,0.814082705698451,0.815625,0.8147749269700488,0.8701171875,0.5571983983336215
