exp,fold,threshold,accuracy,prec_benign,rec_benign,f1_benign,prec_malignant,rec_malignant,f1_malignant,macro_prec,macro_rec,macro_f1,weighted_prec,weighted_rec,weighted_f1,auc,mcc
ImgSE_Concat,1,0.43000000000000027,0.834375,0.7263157894736842,0.71875,0.7225130890052356,0.88,0.8839285714285714,0.8819599109131403,0.8031578947368421,0.8013392857142857,0.802236499959188,0.8338947368421052,0.834375,0.8341258643407687,0.8503999255952381,0.6044944448335208
ImgSE_Concat,2,0.6200000000000004,0.809375,0.6666666666666666,0.7291666666666666,0.6965174129353234,0.8790697674418605,0.84375,0.8610478359908884,0.7728682170542636,0.7864583333333333,0.778782624463106,0.8153488372093023,0.809375,0.8116887090742189,0.8554222470238094,0.5591614245528838
ImgSE_Concat,3,0.17,0.815625,0.6989247311827957,0.6770833333333334,0.6878306878306878,0.8634361233480177,0.875,0.8691796008869179,0.7811804272654067,0.7760416666666667,0.7785051443588029,0.814082705698451,0.815625,0.8147749269700488,0.8701171875,0.5571983983336215
ImgSE_Concat,4,0.5400000000000004,0.828125,0.6990291262135923,0.75,0.7236180904522613,0.8894009216589862,0.8616071428571429,0.8752834467120182,0.7942150239362893,0.8058035714285714,0.7994507685821397,0.8322893830253679,0.828125,0.8297838398340911,0.8867652529761905,0.5999066763677826
ImgSE_Concat,5,0.2500000000000001,0.853125,0.7525773195876289,0.7604166666666666,0.7564766839378239,0.8968609865470852,0.8928571428571429,0.8948545861297539,0.824719153067357,0.8266369047619048,0.8256656350337889,0.8535758864592484,0.853125,0.8533412154721749,0.8930896577380953,0.6513532346579042
MetaCondSE_Concat,1,0.3500000000000002,0.821875,0.7142857142857143,0.6770833333333334,0.6951871657754011,0.8646288209606987,0.8839285714285714,0.8741721854304636,0.7894572676232066,0.7805059523809523,0.7846796756029324,0.8195258889582033,0.821875,0.8204766795339449,0.8563058035714286,0.5698929251297502
MetaCondSE_Concat,2,0.7800000000000006,0.8125,0.6730769230769231,0.7291666666666666,0.7,0.8796296296296297,0.8482142857142857,0.8636363636363636,0.7763532763532763,0.7886904761904762,0.7818181818181817,0.8176638176638177,0.8125,0.8145454545454545,0.8408203125,0.5649090509001449
MetaCondSE_Concat,3,0.4700000000000003,0.828125,0.6952380952380952,0.7604166666666666,0.7263681592039801,0.8930232558139535,0.8571428571428571,0.8747152619589977,0.7941306755260243,0.8087797619047619,0.8005417105814889,0.8336877076411959,0.828125,0.8302111311324925,0.867978050595238,0.6027324446479136
MetaCondSE_Concat,4,0.7600000000000006,0.815625,0.6831683168316832,0.71875,0.700507614213198,0.8767123287671232,0.8571428571428571,0.8668171557562077,0.7799403227994033,0.7879464285714286,0.7836623849847029,0.8186491251864911,0.815625,0.8169242932933048,0.8524925595238095,0.5678303132564201
MetaCondSE_Concat,5,0.7700000000000006,0.7875,0.6044776119402985,0.84375,0.7043478260869566,0.9193548387096774,0.7633928571428571,0.8341463414634146,0.7619162253249879,0.8035714285714286,0.7692470837751856,0.8248916706788638,0.7875,0.7952067868504772,0.8869512648809524,0.5639513549516226
ImgSE_AuxTask,1,0.5000000000000003,0.80625,0.6517857142857143,0.7604166666666666,0.7019230769230769,0.8894230769230769,0.8258928571428571,0.8564814814814815,0.7706043956043955,0.7931547619047619,0.7792022792022792,0.8181318681318681,0.80625,0.81011396011396,0.8780691964285714,0.5633079696357529
ImgSE_AuxTask,2,0.3800000000000002,0.765625,0.5801526717557252,0.7916666666666666,0.6696035242290749,0.8941798941798942,0.7544642857142857,0.8184019370460048,0.7371662829678096,0.7730654761904762,0.7440027306375399,0.7999717274526434,0.765625,0.7737624132009259,0.8759300595238095,0.5089672838009538
ImgSE_AuxTask,3,0.6900000000000005,0.8,0.6454545454545455,0.7395833333333334,0.6893203883495146,0.8809523809523809,0.8258928571428571,0.8525345622119815,0.7632034632034632,0.7827380952380952,0.770927475280748,0.8103030303030302,0.8,0.8035703100532414,0.8576543898809524,0.5455919568550008
ImgSE_AuxTask,4,0.18000000000000002,0.853125,0.7692307692307693,0.7291666666666666,0.7486631016042781,0.8864628820960698,0.90625,0.8962472406181016,0.8278468256634195,0.8177083333333333,0.8224551711111898,0.8512932482364797,0.853125,0.8519719989139546,0.888485863095238,0.6454755411947037
